Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
PITANGUEIRAS,2020-08-15,2020-08-15,2020-08-15,0.196378885443995,0.224433011935993,0.261838513925325
BREJO ALEGRE,2020-08-15,2020-08-15,2020-08-15,0.0164486353566244,0.0187984404075707,0.0219315138088325
ATIBAIA,2020-08-15,2020-08-15,2020-08-15,0.829202107672337,0.947659551625527,1.10560281022978
COSMÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.293935756120629,0.335926578423578,0.391914341494175
ELISIÁRIO,2020-08-15,2020-08-15,2020-08-15,0.0255977538944572,0.0292545758793796,0.0341303385259428
LAVRINHAS,2020-08-15,2020-08-15,2020-10-24,0.0237326825095918,0.0278829223274777,0.0302064991881008
BIRIGUI,2020-08-15,2020-08-15,2020-08-15,1.06048117877288,1.21197849002615,1.41397490503051
PONTALINDA,2020-08-15,2020-08-15,2020-08-15,0.0139958942156744,0.0159953076750563,0.0186611922875661
CAPÃO BONITO,2020-08-15,2020-08-15,2020-08-15,0.174324660258534,0.199228183152613,0.232432880344714
ESTRELA DOESTE,2020-08-15,2020-08-15,2020-08-15,0.0341166477916195,0.0389904546189941,0.0454888637221593
SANTA CRUZ DO RIO PARDO,2020-08-15,2020-08-15,2020-08-15,0.0618622448979593,0.0706997084548107,0.0824829931972788
TURIÚBA,2020-08-15,2020-09-27,2020-10-11,0.00724693499770113,0.0090536669879886,0.0152339073993744
AGUAÍ,2020-08-15,2020-08-15,2020-08-15,0.0383663366336631,0.0438472418670441,0.0511551155115511
